country,income,changed_behaviors,outside_space
china,Fourth quintile,Yes,1
china,Second quintile,Yes,1
china,Second quintile,No,1
china,First quintile ,No,1
china,First quintile ,Yes,1
china,Fifth quintile,Yes,1
china,Fourth quintile,Yes,1
china,Fifth quintile,Yes,1
china,Third quintile,Yes,1
china,First quintile ,Yes,1
china,First quintile ,No,0
china,Second quintile,Yes,1
china,Third quintile,Yes,1
china,First quintile ,Yes,1
china,Second quintile,Yes,1
china,First quintile ,Yes,0
china,First quintile ,Yes,1
china,First quintile ,No,0
china,Third quintile,Yes,1
china,Third quintile,Yes,1
china,Third quintile,Yes,1
china,Third quintile,Yes,1
china,Fourth quintile,Yes,1
china,Second quintile,Yes,1
china,First quintile ,No,0
china,First quintile ,Yes,1
china,First quintile ,No,0
china,First quintile ,No,0
china,Second quintile,Yes,1
china,Third quintile,Yes,1
china,First quintile ,No,1
china,Fourth quintile,Yes,0
china,First quintile ,Yes,1
china,First quintile ,No,1
china,Fourth quintile,No,1
china,Fifth quintile,Yes,1
china,First quintile ,Yes,1
china,First quintile ,Yes,1
china,First quintile ,Yes,1
china,Fifth quintile,Yes,1
china,Second quintile,Yes,1
china,First quintile ,No,0
china,Fifth quintile,Yes,1
china,First quintile ,Yes,1
china,Fifth quintile,Yes,1
china,First quintile ,Yes,1
china,First quintile ,Yes,1
china,Third quintile,Yes,1
china,Fifth quintile,Yes,1
china,Second quintile,Yes,1
china,Fourth quintile,Yes,1
china,First quintile ,No,0
china,Fourth quintile,Yes,1
china,Fourth quintile,Yes,1
china,Second quintile,No,0
china,First quintile ,Yes,1
china,First quintile ,Yes,1
china,Third quintile,No,1
china,Fourth quintile,Yes,1
china,Fourth quintile,Yes,1
china,Fifth quintile,Yes,1
china,Third quintile,Yes,1
china,Fourth quintile,Yes,1
china,Fifth quintile,Yes,1
china,Fourth quintile,Yes,1
china,Second quintile,Yes,1
china,First quintile ,Yes,1
china,Fourth quintile,Yes,1
china,Fifth quintile,Yes,1
china,Third quintile,Yes,1
china,Second quintile,Yes,1
china,First quintile ,No,1
china,Second quintile,Yes,1
china,Fourth quintile,Yes,1
china,First quintile ,Yes,1
china,Second quintile,No,0
china,Second quintile,Yes,1
china,Fourth quintile,Yes,1
china,Second quintile,Yes,1
china,Second quintile,Yes,1
china,Second quintile,Yes,1
china,Second quintile,Yes,1
china,Third quintile,Yes,0
china,Fourth quintile,Yes,1
china,Fifth quintile,Yes,1
china,Third quintile,Yes,1
china,Second quintile,Yes,1
china,Third quintile,Yes,1
china,First quintile ,Yes,1
china,Second quintile,Yes,1
china,Fifth quintile,Yes,1
china,First quintile ,Yes,1
china,Third quintile,Yes,1
china,Second quintile,No,0
china,Third quintile,Yes,0
china,Third quintile,Yes,1
china,First quintile ,No,1
china,Fourth quintile,Yes,0
china,Second quintile,Yes,1
china,First quintile ,No,1
china,Second quintile,Yes,1
china,Fourth quintile,Yes,1
china,Fourth quintile,Yes,1
china,Third quintile,Yes,1
china,Second quintile,Yes,1
china,Second quintile,Yes,1
china,Fourth quintile,Yes,1
china,Third quintile,No,0
china,Fourth quintile,No,0
china,Fourth quintile,Yes,1
china,First quintile ,Yes,1
china,Second quintile,Yes,1
china,Fifth quintile,Yes,1
china,Fifth quintile,Yes,1
china,Fourth quintile,Yes,1
china,First quintile ,Yes,1
china,First quintile ,Yes,1
china,Fifth quintile,Yes,1
china,Second quintile,Yes,1
china,Fifth quintile,Yes,1
china,Fifth quintile,Yes,1
china,Fourth quintile,Yes,1
china,Fifth quintile,No,1
china,First quintile ,Yes,1
china,First quintile ,Yes,1
china,Fifth quintile,Yes,1
china,Fifth quintile,Yes,1
china,Second quintile,Yes,1
china,First quintile ,Yes,1
china,First quintile ,Yes,1
china,Fifth quintile,Yes,1
china,Fourth quintile,Yes,1
china,Fifth quintile,Yes,1
china,Fourth quintile,Yes,0
china,Fifth quintile,Yes,1
china,Fourth quintile,Yes,1
china,Fourth quintile,Yes,1
china,Fifth quintile,Yes,1
china,Fifth quintile,Yes,1
china,Second quintile,Yes,1
china,First quintile ,Yes,1
china,Fifth quintile,No,1
china,Fourth quintile,Yes,1
china,Second quintile,Yes,1
china,Fourth quintile,Yes,1
china,First quintile ,Yes,1
china,Second quintile,Yes,1
china,Fourth quintile,Yes,1
china,First quintile ,Yes,1
china,Second quintile,Yes,1
china,Second quintile,Yes,1
china,Second quintile,Yes,1
china,Third quintile,Yes,1
china,Third quintile,Yes,1
china,First quintile ,Yes,1
china,Fifth quintile,Yes,1
china,Second quintile,Yes,1
china,Fourth quintile,Yes,0
china,Second quintile,Yes,1
china,Fourth quintile,Yes,1
china,Fifth quintile,Yes,1
china,Fourth quintile,Yes,1
china,Fourth quintile,Yes,1
china,Fifth quintile,Yes,0
china,Second quintile,Yes,1
china,Third quintile,Yes,1
china,First quintile ,Yes,0
china,Fifth quintile,Yes,1
